# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased
10237 93.4285714285714 4.42857142857143 0.000198256013294482 1.80939494961682e-06 8.57664272754149e-08 183
10284 89 4 0.00019916624408718 1.7236285223414e-06 7.74664504423102e-08 186
10331 77.8571428571429 4.14285714285714 0.000200076474879877 1.50782912468068e-06 8.02331093866784e-08 192
10384 85.4285714285714 5.28571428571429 0.000201102905348237 1.6544620487322e-06 1.02366380941624e-07 200
10423 63.8571428571429 5 0.00020185820324005 1.23669654813259e-06 9.68330630528877e-08 204
10450 55.4285714285714 4.85714285714286 0.000202381101780535 1.07346367041487e-06 9.40664041085195e-08 208
10450 42 4.42857142857143 0.000202381101780535 8.13397729644257e-07 8.57664272754149e-08 208
10512 39.2857142857143 4.42857142857143 0.000203581831762391 7.60831209701261e-07 8.57664272754149e-08 214
10537 36.1428571428571 4.42857142857143 0.000204065997077656 6.9996471292516e-07 8.57664272754149e-08 217
10564 33.2857142857143 4.28571428571429 0.000204588895618141 6.44631534037796e-07 8.29997683310466e-08 222
10591 29.5714285714286 3.57142857142857 0.000205111794158627 5.72698401484222e-07 6.91664736092055e-08 225
10613 27.1428571428571 3.57142857142857 0.00020553785963606 5.25665199429962e-07 6.91664736092055e-08 229
10635 26.4285714285714 3.14285714285714 0.000205963925113492 5.11831904708121e-07 6.08664967761009e-08 230
10653 29 3.42857142857143 0.000206312524140483 5.61631765706749e-07 6.63998146648373e-08 232
10661 21.2857142857143 2.85714285714286 0.000206467457041367 4.12232182710865e-07 5.53331788873644e-08 234
10674 19.5714285714286 2.71428571428571 0.000206719223005305 3.79032275378446e-07 5.25665199429962e-08 236
10683 17 2.14285714285714 0.0002068935225188 3.29232414379818e-07 4.14998841655233e-08 237
10694 14.7142857142857 1.85714285714286 0.000207106555257516 2.84965871269927e-07 3.59665662767869e-08 238
10702 12.7142857142857 1.57142857142857 0.000207261488158401 2.46232646048772e-07 3.04332483880504e-08 240
10708 10.4285714285714 1.42857142857143 0.000207377687834064 2.0196610293888e-07 2.76665894436822e-08 240
10718 9.28571428571429 1.14285714285714 0.00020757135396017 1.79832831383934e-07 2.21332715549458e-08 240
