# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased
34 4.71428571428571 0.285714285714286 7.64139353666662e-07 1.05952095256302e-07 6.42133910644254e-09 2
45 6.14285714285714 0.285714285714286 1.0113609092647e-06 1.38058790788515e-07 6.42133910644254e-09 2
56 6.85714285714286 0.285714285714286 1.25858246486274e-06 1.54112138554621e-07 6.42133910644254e-09 2
65 8 0.142857142857143 1.46085464671568e-06 1.79797494980391e-07 3.21066955322127e-09 2
79 9.57142857142857 0.142857142857143 1.77550026293136e-06 2.15114860065825e-07 3.21066955322127e-09 2
97 11.1428571428571 0.142857142857143 2.18004462663724e-06 2.50432225151259e-07 3.21066955322127e-09 2
128 13.8571428571429 0.285714285714286 2.87675991968626e-06 3.11434946662463e-07 6.42133910644254e-09 3
158 17.7142857142857 0.142857142857143 3.55100052586272e-06 3.98123024599437e-07 3.21066955322127e-09 3
225 25.7142857142857 0.285714285714286 5.0568045463235e-06 5.77920519579828e-07 6.42133910644254e-09 4
266 30 0.285714285714286 5.978266708098e-06 6.74240606176466e-07 6.42133910644254e-09 4
301 33.7142857142857 0.285714285714286 6.76488074863721e-06 7.5771801456022e-07 6.42133910644254e-09 4
387 44 0.571428571428571 8.69770381967642e-06 9.88886222392151e-07 1.28426782128851e-08 6
502 57.8571428571429 0.857142857142857 1.12822928100195e-05 1.30032116905461e-06 1.92640173193276e-08 8
589 65.8571428571429 1.28571428571429 1.32375905679313e-05 1.48011866403501e-06 2.88960259789914e-08 12
690 76 2 1.55075339420587e-05 1.70807620231372e-06 4.49493737450978e-08 17
745 74.2857142857143 2.14285714285714 1.67436417200489e-05 1.66954816767506e-06 4.8160043298319e-08 19
820 79.1428571428571 2.28571428571429 1.84292432354901e-05 1.77871093248458e-06 5.13707128515403e-08 20
966 95 2.85714285714286 2.17105475188822e-05 2.13509525289214e-06 6.42133910644254e-08 24
966 82.7142857142857 2.57142857142857 2.17105475188822e-05 1.85897767131511e-06 5.77920519579828e-08 24
1133 90.1428571428571 3.28571428571429 2.54638202265979e-05 2.02593248808262e-06 7.38453997240892e-08 31
1133 77.7142857142857 3.14285714285714 2.54638202265979e-05 1.74660423695237e-06 7.06347301708679e-08 34
1265 82.1428571428571 2.85714285714286 2.84304788937743e-05 1.84613499310223e-06 6.42133910644254e-08 37
1451 100.857142857143 3.42857142857143 3.26107706520684e-05 2.26673270457422e-06 7.70560692773104e-08 43
1554 104.857142857143 3.71428571428571 3.4925663399941e-05 2.35663145206441e-06 8.3477408383753e-08 46
1628 94.5714285714286 4.14285714285714 3.65887902285096e-05 2.12546324423248e-06 9.31094170434168e-08 53
1715 107 5.14285714285714 3.85440879864213e-05 2.40479149536273e-06 1.15584103915966e-07 60
1795 94.5714285714286 4.85714285714286 4.03420629362252e-05 2.12546324423248e-06 1.09162764809523e-07 65
1894 108.714285714286 6.42857142857143 4.25670569366076e-05 2.44331953000139e-06 1.44480129894957e-07 79
1975 101.428571428571 6.42857142857143 4.4387506573284e-05 2.2795753827871e-06 1.44480129894957e-07 82
2137 98 6.57142857142857 4.8028405846637e-05 2.20251931350979e-06 1.47690799448178e-07 89
2203 92.7142857142857 7 4.95117351802252e-05 2.0837245400406e-06 1.57322808107842e-07 95
2272 92 6.42857142857143 5.10624885744311e-05 2.0676711922745e-06 1.44480129894957e-07 98
2432 102.428571428571 6.42857142857143 5.46584384740389e-05 2.30205006965965e-06 1.44480129894957e-07 105
2432 91 6.28571428571429 5.46584384740389e-05 2.04519650540195e-06 1.41269460341736e-07 109
2560 95.1428571428571 5.14285714285714 5.75351983937251e-05 2.13830592244536e-06 1.15584103915966e-07 115
2658 97.5714285714286 5.71428571428571 5.97377177072349e-05 2.19288730485013e-06 1.28426782128851e-07 122
2828 98.7142857142857 6.14285714285714 6.35584144755682e-05 2.2185726612759e-06 1.38058790788515e-07 132
2930 103.857142857143 5.57142857142857 6.58508325365682e-05 2.33415676519186e-06 1.25216112575629e-07 134
3020 106.857142857143 6.28571428571429 6.78735543550976e-05 2.40158082580951e-06 1.41269460341736e-07 142
