# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
1485 111.857142857143 3.57142857142857 2.9910157741338e-05 2.25297292077611e-06 7.19340013019191e-08 35 608.586216014077
1579 111.571428571429 4.57142857142857 3.18034606556045e-05 2.24721820067195e-06 9.20755216664564e-08 46 610.288080025958
1780 124.857142857143 4.85714285714286 3.58519062488765e-05 2.51481268551509e-06 9.783024177061e-08 50 718.731839480312
2054 141.285714285714 5.42857142857143 4.13706828287597e-05 2.84570909150392e-06 1.09339681978917e-07 55 883.72902720201
2223 151.714285714286 7.14285714285714 4.47745997703665e-05 3.05575637530552e-06 1.43868002603838e-07 69 918.702754862887
2473 172.285714285714 7.85714285714286 4.98099798615009e-05 3.47009622280458e-06 1.58254802864222e-07 80 1029.37236983321
2709 186.142857142857 9.71428571428571 5.45633786675317e-05 3.74920014785602e-06 1.9566048354122e-07 100 1109.25784000449
2776 184.428571428571 10.5714285714286 5.59128605319557e-05 3.7146718272311e-06 2.12924643853681e-07 109 1008.02788627144
2852 181.857142857143 9.42857142857143 5.74436160796605e-05 3.66287934629372e-06 1.89905763437066e-07 112 931.150459082478
2979 171.285714285714 11 6.00015891659568e-05 3.44995470244004e-06 2.21556724009911e-07 127 916.932256243974
3105 150.142857142857 10.8571428571429 6.25394207318885e-05 3.02410541473268e-06 2.18679363957834e-07 131 903.870384890743
3233 144.285714285714 10.7142857142857 6.51175353385493e-05 2.90613365259753e-06 2.15802003905757e-07 144 894.789475883844
3439 138 10.4285714285714 6.92666885336439e-05 2.77952981030615e-06 2.10047283801604e-07 153 965.085776797839
3621 130.285714285714 9.42857142857143 7.29324452399897e-05 2.62415236749401e-06 1.89905763437066e-07 166 1000.7209464366
3792 145.142857142857 10 7.63766452223256e-05 2.92339781290999e-06 2.01415203645373e-07 179 1019.95168914829
3977 160.714285714286 11 8.0102826489765e-05 3.23703005858636e-06 2.21556724009911e-07 189 1050.2658989855
4149 167.142857142857 9.85714285714286 8.35671679924655e-05 3.36651126092981e-06 1.98537843593297e-07 196 1062.98265822606
4356 178.714285714286 10.7142857142857 8.77364627079247e-05 3.59957742514803e-06 2.15802003905757e-07 206 1108.7707947952
4561 189.714285714286 10.1428571428571 9.18654743826549e-05 3.82113414915794e-06 2.0429256369745e-07 215 1145.61470629895
4881 206 10.2857142857143 9.83107608993068e-05 4.14915319509469e-06 2.07169923749527e-07 225 1291.87087318275
5142 217.285714285714 9.57142857142857 0.000103567697714451 4.37646463920876e-06 1.92783123489143e-07 233 1356.94584170068
