# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased
82295 94.8571428571429 3.57142857142857 5.90889835072125e-05 6.81087812118234e-08 2.56433664201142e-09 3310
82395 94.5714285714286 3.57142857142857 5.91607849331888e-05 6.79036342804625e-08 2.56433664201142e-09 3316
82465 91.1428571428571 4.28571428571429 5.92110459313722e-05 6.54418711041316e-08 3.07720397041371e-09 3326
82527 83 4.42857142857143 5.92555628154775e-05 5.95951835603455e-08 3.17977743609417e-09 3330
82575 73.7142857142857 4.14285714285714 5.92900274999462e-05 5.29279082911158e-08 2.97463050473325e-09 3333
82642 69.2857142857143 4.14285714285714 5.93381344553503e-05 4.97481308550216e-08 2.97463050473325e-09 3335
82698 65.2857142857143 3.71428571428571 5.9378343253897e-05 4.68760738159688e-08 2.66691010769188e-09 3335
82784 69.8571428571429 3.85714285714286 5.94400924802367e-05 5.01584247177435e-08 2.76948357337234e-09 3337
82870 67.8571428571429 3.28571428571429 5.95018417065763e-05 4.87223961982171e-08 2.35918971065051e-09 3339
82925 65.7142857142857 2 5.95413324908633e-05 4.71837942130102e-08 1.4360285195264e-09 3340
83004 68.1428571428571 1.85714285714286 5.95980556173846e-05 4.8927543129578e-08 1.33345505384594e-09 3343
83097 74.5714285714286 1.42857142857143 5.96648309435425e-05 5.35433490851985e-08 1.02573465680457e-09 3343
83209 81 1.42857142857143 5.9745248540636e-05 5.81591550408191e-08 1.02573465680457e-09 3345
83303 86.4285714285714 1.42857142857143 5.98127418810538e-05 6.20569467366765e-08 1.02573465680457e-09 3345
83352 81.1428571428571 1.28571428571429 5.98479245797822e-05 5.82617285064996e-08 9.23161191124113e-10 3346
83402 76 1 5.98838252927703e-05 5.45690837420031e-08 7.18014259763199e-10 3346
83754 118.428571428571 185.142857142857 6.0136566312207e-05 8.50334030490988e-08 1.32935211521872e-07 4636
83785 111.571428571429 184.714285714286 6.01588247542596e-05 8.01098766964369e-08 1.32627491124831e-07 4636
83803 100.857142857143 184.714285714286 6.01717490109354e-05 7.24168667704026e-08 1.32627491124831e-07 4636
83817 86.8571428571429 184.428571428571 6.0181801210572e-05 6.23646671337178e-08 1.3242234419347e-07 4636
83849 78 184.428571428571 6.02047776668845e-05 5.60051122615295e-08 1.3242234419347e-07 4636
83864 73.1428571428571 184.285714285714 6.02155478807809e-05 5.2517614428394e-08 1.32319770727789e-07 4636
83876 67.7142857142857 184.285714285714 6.02241640518981e-05 4.86198227325366e-08 1.32319770727789e-07 4636
