# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
5338 161.142857142857 5.42857142857143 0.00127798953906427 3.85797837623641e-05 1.29967356646262e-06 154 1121.11255130025
5538 180.714285714286 5.57142857142857 0.00132587224940763 4.32654489888215e-05 1.33387550242216e-06 159 1151.08471301693
5779 187.428571428571 5.57142857142857 0.00138357091537138 4.487293997892e-05 1.33387550242216e-06 165 1217.51129912708
6021 194.714285714286 4.42857142857143 0.00144150899488684 4.66172387128567e-05 1.06026001474582e-06 167 1274.8636345942
6200 197 5 0.00148436402064415 4.71644696882093e-05 1.19706775858399e-06 176 1260.51791953226
6378 198 4.85714285714286 0.00152697963284974 4.74038832399261e-05 1.16286582262445e-06 178 1247.34787444902
6532 195.142857142857 6 0.00156384931981413 4.67198445207353e-05 1.43648131030079e-06 188 1212.1751973312
6720 197.428571428571 5.42857142857143 0.00160885906753689 4.7267075496088e-05 1.29967356646262e-06 192 1216.33680556238
7090 221.714285714286 5.42857142857143 0.0016974420816721 5.30814046092102e-05 1.29967356646262e-06 197 1401.86726462793
7197 202.571428571429 5 0.0017230593317058 4.84983451906315e-05 1.19706775858399e-06 200 1296.26018937185
7387 195.142857142857 5.14285714285714 0.00176854790653199 4.67198445207353e-05 1.23126969454354e-06 203 1289.66947455378
7523 189 4.85714285714286 0.00180110814956548 4.52491612744749e-05 1.16286582262445e-06 210 1230.07830700861
7731 193.285714285714 5.71428571428571 0.00185090616832257 4.62752193532612e-05 1.36807743838171e-06 218 1251.52473108324
7868 190.857142857143 5.28571428571429 0.00188370582490777 4.5693786441949e-05 1.26547163050308e-06 225 1198.71859222823
