# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
27 3.85714285714286 0 1.93863850136064e-08 2.76948357337234e-09 0 0 27
27 3.85714285714286 0 1.93863850136064e-08 2.76948357337234e-09 0 0 22.9051821975186
27 3.85714285714286 0 1.93863850136064e-08 2.76948357337234e-09 0 0 19.4313841296861
44 6.28571428571429 0 3.15926274295808e-08 4.51323248994011e-09 0 0 33.4844219940901
44 6.28571428571429 0 3.15926274295808e-08 4.51323248994011e-09 0 0 28.4061772797494
59 8.42857142857143 0 4.23628413260287e-08 6.05183447514696e-09 0 0 39.0980987454694
59 8.42857142857143 0 4.23628413260287e-08 6.05183447514696e-09 0 0 33.1684842719094
59 4.57142857142857 0 4.23628413260287e-08 3.28235090177462e-09 0 0 28.1381546468006
59 4.57142857142857 0 4.23628413260287e-08 3.28235090177462e-09 0 0 23.8707244032194
59 4.57142857142857 0 4.23628413260287e-08 3.28235090177462e-09 0 0 20.2504922830553
59 2.14285714285714 0 4.23628413260287e-08 1.53860198520685e-09 0 0 17.1793042715862
59 2.14285714285714 0.142857142857143 4.23628413260287e-08 1.53860198520685e-09 1.02573465680457e-10 1 14.5738923839738
59 0 0.142857142857143 4.23628413260287e-08 0 1.02573465680457e-10 1 12.3636170511833
59 0 0.142857142857143 4.23628413260287e-08 0 1.02573465680457e-10 1 10.4885518954704
59 0 0.142857142857143 4.23628413260287e-08 0 1.02573465680457e-10 1 8.89785896866222
59 0 0.285714285714286 4.23628413260287e-08 0 2.05146931360914e-10 2 7.5484104016679
59 0 0.285714285714286 4.23628413260287e-08 0 2.05146931360914e-10 2 6.4036190945129
63 0.571428571428571 0.285714285714286 4.52348983650815e-08 4.10293862721828e-10 2.05146931360914e-10 2 9.43244674382694
80 3 0.142857142857143 5.74411407810559e-08 2.1540427792896e-09 1.02573465680457e-10 2 25.001922638361
216 22.4285714285714 0.285714285714286 1.55091080108851e-07 1.61040341118317e-08 2.05146931360914e-10 3 157.210133085923
235 25.1428571428571 0.285714285714286 1.68733351044352e-07 1.80529299597604e-08 2.05146931360914e-10 3 152.367657097379
386 46.7142857142857 0.714285714285714 2.77153504268595e-07 3.35415232775094e-08 5.12867328402285e-10 6 280.25959062313
526 66.7142857142857 2.14285714285714 3.77675500635443e-07 4.79018084727734e-08 1.53860198520685e-09 17 377.755443919436
623 80.5714285714286 2.14285714285714 4.47322883832473e-07 5.78514346437777e-08 1.53860198520685e-09 17 417.465084039971
882 117 3.42857142857143 6.33288577111141e-07 8.40076683922943e-08 2.46176317633097e-09 26 613.152363371777
1323 177.571428571429 5.57142857142857 9.49932865666712e-07 1.27498817840808e-07 4.00036516153782e-09 41 961.161725847026
1988 253.142857142857 7.57142857142857 1.42741234840924e-06 1.8176018118577e-07 5.43639368106422e-09 56 1480.39201673361
2775 362.857142857143 11.1428571428571 1.99248957084288e-06 2.60536602828361e-07 8.00073032307564e-09 81 2042.87588396428
4528 591.714285714286 14.2857142857143 3.25116856820776e-06 4.24859294848453e-07 1.02573465680457e-08 106 3486.05349367106
5994 781.142857142857 16.4285714285714 4.30377747302061e-06 5.60871710340739e-07 1.17959485532526e-08 132 4423.35890454934
7734 1015.85714285714 21.8571428571429 5.55312228500858e-06 7.2939991445373e-07 1.56937402491099e-08 170 5492.51265310071
9714 1261.71428571429 26.7142857142857 6.97479051933971e-06 9.05928848889796e-07 1.91812380822455e-08 213 6639.51863116475
11809 1498 31.1428571428571 8.47903039354362e-06 1.07558536112527e-06 2.23610155183396e-08 259 7727.56977594993
14399 1773 35.4285714285714 1.03386873263303e-05 1.27303928256015e-06 2.54382194887533e-08 304 9145.60717267302
17211 2062.28571428571 40 1.23577434247844e-05 1.48075055056308e-06 2.8720570390528e-08 361 10570.5851332226
20448 2274.28571428571 45.7142857142857 1.46819555836379e-05 1.63296957363288e-06 3.28235090177462e-08 426 12204.4510522535
24320 2618 51.4285714285714 1.7462106797441e-05 1.87976133206005e-06 3.69264476449645e-08 492 14225.5249989839
28047 2901.85714285714 56.2857142857143 2.01381459435784e-05 2.08357480836712e-06 4.04139454781001e-08 564 15795.0830354475
31207 3070.42857142857 60.5714285714286 2.24070710044301e-05 2.20461149787006e-06 4.34911494485138e-08 637 16559.6020278467
34625 3259.42857142857 66.2857142857143 2.48612437443008e-05 2.34031619296531e-06 4.7594088075732e-08 723 17466.1741320825
37232 3261.85714285714 72.5714285714286 2.67331069195034e-05 2.34205994188187e-06 5.21073205656721e-08 812 17424.2555847754
40206 3285 78.2857142857143 2.88684813280392e-05 2.35867684332211e-06 5.62102591928904e-08 909 17755.6944009412
42696 3178.28571428571 84.4285714285714 3.06563368348495e-05 2.28205446445881e-06 6.06209182171501e-08 1017 17552.867233223
44724 2914.85714285714 88.8571428571429 3.21124697536493e-05 2.09290899374404e-06 6.38006956532442e-08 1114 16918.8008172529
59865 4545.42857142857 114.857142857143 4.29839236607239e-05 3.26368253102078e-06 8.24690664070874e-08 1368 29493.8968623224
64021 4687.71428571429 106.285714285714 4.59679909242998e-05 3.36584570283852e-06 7.631465846626e-08 1381 29176.8548646784
66559 4562 114.428571428571 4.77903111155788e-05 3.27558105303971e-06 8.21613460100461e-08 1524 27289.8954305932
68566 4476.28571428571 122 4.92313657349235e-05 3.21403697363144e-06 8.75977396911103e-08 1666 25158.1121107026
70618 4344.57142857143 123.142857142857 5.07047309959576e-05 3.11946423827406e-06 8.84183274165539e-08 1771 23394.6348756016
72508 4258.85714285714 121.714285714286 5.206177794691e-05 3.05792015886578e-06 8.73925927597493e-08 1869 21736.6064544473
74258 4219.14285714286 127.714285714286 5.33183029014956e-05 3.02940473540662e-06 9.17006783183285e-08 2008 20190.0344886991
74652 2112.42857142857 107.428571428571 5.36012005198423e-05 1.51675383701692e-06 7.71352461917037e-08 2120 17522.0155014014
75543 1646 122.428571428571 5.42409512252913e-05 1.18185147157023e-06 8.79054600881516e-08 2238 15755.6280565684
76369 1401.42857142857 117.571428571429 5.48340310038557e-05 1.00624569832528e-06 8.44179622550161e-08 2347 14192.1307878531
77016 1207.14285714286 111.285714285714 5.52985862299225e-05 8.66745784999861e-07 7.9904729765076e-08 2445 12686.7533876589
77234 945.142857142857 117.714285714286 5.54551133385509e-05 6.78626048941903e-07 8.45205357206966e-08 2595 10980.6814014561
77749 748.714285714286 113.714285714286 5.58248906823289e-05 5.37587533631275e-07 8.16484786816438e-08 2665 9830.35215382428
78159 557.285714285714 101.285714285714 5.61192765288319e-05 4.00139089619463e-07 7.2724587167444e-08 2717 8749.48174626351
78598 563.714285714286 89.4285714285714 5.64344847888679e-05 4.04754895575083e-07 6.42109895159661e-08 2746 7861.53605674183
78927 483.428571428571 78.8571428571429 5.667071148033e-05 3.47108607862666e-07 5.66205530556123e-08 2790 6998.25613822348
79355 426.571428571429 70 5.69780215835087e-05 3.06284368521845e-07 5.02609981834239e-08 2837 6364.90118188563
79929 416.142857142857 61 5.73901617686127e-05 2.98796505527171e-07 4.37988698455551e-08 2872 5973.60078667748
80134 414.285714285714 45.5714285714286 5.75373546918642e-05 2.97463050473325e-07 3.27209355520658e-08 2914 5272.64497755883
80261 358.857142857143 40.1428571428571 5.76285425028541e-05 2.57664545789308e-07 2.88231438562084e-08 2946 4599.99606940062
80380 317.285714285714 38 5.77139861997659e-05 2.27815667276295e-07 2.72845418710016e-08 2983 4021.36103990706
80497 271.285714285714 38.2857142857143 5.77979938681582e-05 1.94787011327188e-07 2.74896888023625e-08 3014 3528.48175189164
80667 248.571428571429 36.2857142857143 5.7920056292318e-05 1.78477830283995e-07 2.60536602828361e-08 3044 3163.3524965814
80768 201.857142857143 33.5714285714286 5.7992575732554e-05 1.44936307006486e-07 2.41047644349074e-08 3072 2784.5987144138
80814 126.428571428571 32.4285714285714 5.80256043885032e-05 9.07775171272044e-08 2.32841767094637e-08 3099 2408.28670002312
80859 103.571428571429 29.7142857142857 5.80579150301925e-05 7.43657626183313e-08 2.13352808615351e-08 3122 2088.04613510705
80879 88.2857142857143 27.5714285714286 5.80722753153878e-05 6.33904017905224e-08 1.97966788763282e-08 3139 1791.37322820191
80908 75.4285714285714 25.4285714285714 5.80930977289209e-05 5.41587898792813e-08 1.82580768911213e-08 3161 1548.69371021193
80932 62.1428571428571 22.5714285714286 5.81103300711552e-05 4.46194575709988e-08 1.62066075775122e-08 3172 1337.81894816871
80954 41 19.2857142857143 5.812612638487e-05 2.94385846502912e-08 1.38474178668617e-08 3179 1156.92543537397
80973 29.2857142857143 17.4285714285714 5.81397686558055e-05 2.10275604644937e-08 1.25139628130158e-08 3194 1000.46621800683
80995 25.8571428571429 14.8571428571429 5.81555649695203e-05 1.85657972881627e-08 1.06676404307675e-08 3203 870.735592811437
81020 23 13.4285714285714 5.81735153260144e-05 1.65143279745536e-08 9.64190577396296e-09 3216 763.679903674458
81063 26.2857142857143 12.2857142857143 5.82043899391842e-05 1.88735176852041e-08 8.8213180485193e-09 3225 690.860271638776
81086 25.4285714285714 11.4285714285714 5.82209042671587e-05 1.82580768911213e-08 8.20587725443656e-09 3241 609.084459070866
81130 28.2857142857143 11 5.82524968945883e-05 2.03095462047305e-08 7.89815685739519e-09 3249 560.710759581306
81229 39.2857142857143 10.5714285714286 5.83235803063049e-05 2.82077030621257e-08 7.59043646035382e-09 3253 574.673411419218
81281 44 9.28571428571429 5.83609170478126e-05 3.15926274295808e-08 6.6672752692297e-09 3259 539.518488615807
81346 50.1428571428571 8.85714285714286 5.84075879746972e-05 3.60032864538404e-08 6.35955487218833e-09 3265 522.695158543517
81484 66.2857142857143 8.28571428571429 5.85066739425445e-05 4.7594088075732e-08 5.94926100946651e-09 3274 581.423253340746
81553 70 8 5.85562169264682e-05 5.02609981834239e-08 5.74411407810559e-09 3281 562.244650060882
